method,query_id,unans_type,question,reason_unanswerable,answer
adaptive_rag,uq_0031,commodity_not_covered,Apa standar teknis budidaya teh di kawasan transmigrasi?,"Komoditas di corpus: padi, jagung, karet, udang, sapi, kopi, kakao, kelapa sawit — teh tidak termasuk.",Standar teknis budidaya teh di kawasan transmigrasi pada dasarnya mengacu pada pedoman
adaptive_rag,uq_0032,commodity_not_covered,Bagaimana panduan budidaya tembakau untuk petani transmigran?,Tembakau tidak ada di corpus.,Panduan budidaya tembakau untuk petani transmigran pada dasarnya mengikuti prinsip-pr
adaptive_rag,uq_0033,commodity_not_covered,Apa kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi?,Lada tidak ada di corpus.,Kriteria mutu lada (lada hitam dan lada putih) sesuai Standar Nasional Indonesia (SNI
adaptive_rag,uq_0034,commodity_not_covered,Sebutkan teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi.,Cengkeh tidak ada di corpus.,"Untuk kawasan transmigrasi, teknik budidaya cengkeh yang direkomendasikan umumnya menekankan"
adaptive_rag,uq_0035,commodity_not_covered,Apa standar pengolahan pala di kawasan transmigrasi Maluku?,Pala tidak ada di corpus meski Maluku (provinsinya) ada — menguji apakah sistem 'memaksakan' jawaban dari konteks regional yang salah komoditas.,Standar pengolahan pala di kawasan transmigrasi Maluku umumnya mengikuti praktik terbaik dan standar kualitas
adaptive_rag,uq_0036,commodity_not_covered,Bagaimana pedoman budidaya kapas untuk program transmigrasi?,Kapas tidak ada di corpus.,
adaptive_rag,uq_0037,commodity_not_covered,Apa standar teknis budidaya tebu di kawasan transmigrasi?,Tebu tidak ada di corpus.,Standar teknis budidaya tebu di kawasan transmigrasi pada dasarnya mengikuti
adaptive_rag,uq_0038,commodity_not_covered,Sebutkan panduan budidaya kentang untuk petani transmigran dataran tinggi.,Kentang tidak ada di corpus.,
adaptive_rag,uq_0039,commodity_not_covered,Apa kriteria mutu bawang merah dalam program transmigrasi?,Bawang merah tidak ada di corpus.,
adaptive_rag,uq_0040,commodity_not_covered,Bagaimana pedoman budidaya rumput laut di kawasan transmigrasi pesisir?,Rumput laut tidak ada di corpus (yang ada dari sektor perairan hanya udang).,Pedoman budidaya rumput laut di kawasan transmigrasi pesisir di Indonesia umumnya mengikuti
adaptive_rag,uq_0041,commodity_not_covered,Apa standar budidaya singkong/ubi kayu di kawasan transmigrasi?,Singkong/ubi kayu tidak ada di corpus.,"Di kawasan transmigrasi, standar budidaya singkong (ubi kayu) umumnya mengacu pada"
adaptive_rag,uq_0042,commodity_not_covered,Sebutkan teknik budidaya pisang untuk kawasan transmigrasi.,Pisang tidak ada di corpus.,
adaptive_rag,uq_0043,commodity_not_covered,Apa pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi?,Kelapa biasa (kopra) tidak ada di corpus — hanya kelapa sawit.,Pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi
adaptive_rag,uq_0044,commodity_not_covered,Bagaimana standar budidaya vanili untuk petani transmigran?,Vanili tidak ada di corpus.,
adaptive_rag,uq_0045,commodity_not_covered,Apa kriteria mutu jambu mete dalam program pengembangan komoditas transmigrasi?,Jambu mete tidak ada di corpus.,Kriteria mutu jambu mete (gelondongan/raw cashew nut) dalam program pengembangan kom
adaptive_rag,uq_0046,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi?,"Pertambangan bukan cakupan corpus (fokus: profil kawasan, standar komoditas, layanan, regulasi transmigrasi).",Prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi pada dasarnya mengikuti
adaptive_rag,uq_0047,out_of_domain_mixing,Apa syarat pengajuan Kredit Usaha Rakyat (KUR) untuk petani transmigran?,Skema pembiayaan perbankan KUR tidak dibahas di corpus.,Syarat pengajuan Kredit Usaha Rakyat (KUR) untuk petani transmigran pada dasarnya
adaptive_rag,uq_0048,out_of_domain_mixing,Bagaimana prosedur pendaftaran BPJS Kesehatan bagi warga transmigran?,BPJS Kesehatan (domain kesehatan) tidak dibahas di corpus.,Prosedur pendaftaran BPJS Kesehatan bagi warga transmigran umumnya sangat terkait dengan program transmig
adaptive_rag,uq_0049,out_of_domain_mixing,Apa ketentuan pajak UMKM bagi pelaku usaha di kawasan transmigrasi?,Perpajakan tidak dibahas di corpus.,Ketentuan pajak UMKM bagi pelaku usaha di kawasan transmigrasi pada dasarnya **sama dengan
adaptive_rag,uq_0050,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pariwisata di kawasan transmigrasi?,"Pariwisata hanya pernah muncul sebagai skenario kebijakan hasil generate SR di contoh kualitatif paper, bukan fakta dari dokumen sumber.",
adaptive_rag,uq_0051,out_of_domain_mixing,Apa syarat pendirian sekolah menengah kejuruan di kawasan transmigrasi?,Pendidikan formal (SMK) tidak dibahas di corpus.,Pendirian Sekolah Menengah Kejuruan (SMK) di kawasan transmigrasi pada dasarnya mengikuti
adaptive_rag,uq_0052,out_of_domain_mixing,Bagaimana skema investasi pembangkit listrik tenaga surya di kawasan transmigrasi?,Energi terbarukan tidak dibahas di corpus.,Skema investasi pembangkit listrik tenaga surya (PLTS) di kawasan transmigrasi di
adaptive_rag,uq_0053,out_of_domain_mixing,Apa prosedur perizinan eksplorasi minyak dan gas bumi di kawasan transmigrasi?,Migas tidak dibahas di corpus.,Prosedur perizinan eksplorasi minyak dan gas bumi di kawasan transmigrasi melibatkan beberapa
adaptive_rag,uq_0054,out_of_domain_mixing,Bagaimana ketentuan pembangunan jalan tol yang melintasi kawasan transmigrasi?,Infrastruktur jalan tol tidak dibahas di corpus.,Pembangunan jalan tol yang melintasi kawasan transmigrasi memiliki ketentuan khusus yang melibatkan beberapa aspek hukum
adaptive_rag,uq_0055,out_of_domain_mixing,Apa syarat pendaftaran perguruan tinggi negeri baru di kawasan transmigrasi?,Perguruan tinggi tidak dibahas di corpus.,Syarat pendaftaran untuk perguruan tinggi negeri (PTN) baru di kawasan transmigrasi pada das
adaptive_rag,uq_0056,out_of_domain_mixing,Bagaimana prosedur izin usaha perikanan tangkap laut dalam bagi warga transmigran?,Perikanan tangkap laut dalam berbeda dari budidaya udang tambak yang ada di corpus.,
adaptive_rag,uq_0057,out_of_domain_mixing,Apa ketentuan perbankan syariah untuk pembiayaan usaha transmigran?,Perbankan syariah tidak dibahas di corpus.,Ketentuan perbankan syariah untuk pembiayaan usaha transmigran umumnya didasarkan pada
adaptive_rag,uq_0058,out_of_domain_mixing,Bagaimana regulasi e-commerce untuk produk UMKM kawasan transmigrasi?,E-commerce tidak dibahas di corpus.,Regulasi e-commerce untuk produk UMKM di kawasan transmigrasi pada dasarnya **mengikuti regul
adaptive_rag,uq_0059,out_of_domain_mixing,Apa syarat pendirian rumah sakit tipe C di kawasan transmigrasi?,Fasilitas kesehatan tingkat lanjut (RS tipe C) tidak dibahas di corpus.,Pendirian rumah sakit tipe C di kawasan transmigrasi pada dasarnya mengikuti peraturan umum pendirian rumah
adaptive_rag,uq_0060,out_of_domain_mixing,Bagaimana prosedur sertifikasi halal untuk produk olahan komoditas di kawasan transmigrasi?,Sertifikasi halal tidak dibahas di corpus.,
crag,uq_0007,province_not_in_corpus,Apa saja program layanan transmigrasi yang tersedia di Provinsi DI Yogyakarta?,"DIY tidak ada di corpus (layanan_* files yang ada: Grobogan, Bondowoso, Sleman, Solo).","Berdasarkan bukti yang tersedia, Balai Besar Pelatihan dan Pemberdayaan Masyarakat Transmigrasi"
crag,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,Sumatera Barat tidak ada di corpus (hanya Sumut & Sumsel).,"Desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat adalah sebagai berikut:

1"
crag,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Papua Barat Daya (provinsi hasil pemekaran 2022) tidak ada di corpus, walau 'Papua' (provinsi induk lama) ada — sengaja mirip untuk menguji false-positive retrieval.","Di Provinsi Papua Barat Daya, Kawasan Transmigrasi Klamono–Segun memiliki status kawasan Berk"
crag,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.","Berdasarkan bukti yang diberikan, Undang-Undang Nomor 15 Tahun 199"
crag,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.",Perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pel
crag,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Tidak ada Perpres apa pun di corpus.,"Berdasarkan bukti yang diberikan, Peraturan Presiden Nomor 50 Tahun 2018 berjudul"
crag,uq_0042,commodity_not_covered,Sebutkan teknik budidaya pisang untuk kawasan transmigrasi.,Pisang tidak ada di corpus.,"Berdasarkan bukti yang terverifikasi, teknik budidaya pisang yang disebutkan adalah sebagai penaung"
crag,uq_0047,out_of_domain_mixing,Apa syarat pengajuan Kredit Usaha Rakyat (KUR) untuk petani transmigran?,Skema pembiayaan perbankan KUR tidak dibahas di corpus.,"Berdasarkan bukti yang diberikan, transmigran pada Transmigrasi Swakarsa Berbantuan dapat"
crag,uq_0052,out_of_domain_mixing,Bagaimana skema investasi pembangkit listrik tenaga surya di kawasan transmigrasi?,Energi terbarukan tidak dibahas di corpus.,"Berdasarkan bukti yang tersedia, skema investasi pembangkit listrik tenaga surya di kawasan transmigrasi"
crag,uq_0057,out_of_domain_mixing,Apa ketentuan perbankan syariah untuk pembiayaan usaha transmigran?,Perbankan syariah tidak dibahas di corpus.,"Berdasarkan bukti yang diberikan, tidak ada ketentuan spesifik mengenai perbankan syariah untuk pembi"
crag,uq_0058,out_of_domain_mixing,Bagaimana regulasi e-commerce untuk produk UMKM kawasan transmigrasi?,E-commerce tidak dibahas di corpus.,"Berdasarkan bukti yang tersedia, regulasi e-commerce untuk produk UMKM di kawasan"
crag,uq_0060,out_of_domain_mixing,Bagaimana prosedur sertifikasi halal untuk produk olahan komoditas di kawasan transmigrasi?,Sertifikasi halal tidak dibahas di corpus.,"Berdasarkan bukti yang diberikan, produk unggulan kawasan transmigrasi perlu disertifikasi dan distandaris"
react,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,"Bali tidak ada di corpus (province coverage: Sultra, Sulteng, Sulbar, Kalsel, Sumut, Kalbar, Papua, Sumsel, Maluku, Kalteng, Sulsel, Sulut, NTT, Kaltim).","The user is asking for the total area of transmigration settlements that have achieved ""Mandiri"" (independent) status in Bali province. I need to find data specifically for Bali, focusing on transmigration areas and their ""Mandiri"" status, along with their respective land areas."
react,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,Jawa Barat tidak ada di corpus.,The user is asking for the IPKT (Indeks Pembangunan Kawasan Transmigrasi) status for transmigration areas in West Java province for the year 2023. I need to search for this specific information.
react,uq_0003,province_not_in_corpus,Sebutkan daftar kawasan transmigrasi yang berada di Provinsi Jawa Tengah beserta status IPKT-nya.,Jawa Tengah tidak ada di corpus.,"Daftar kawasan transmigrasi di Provinsi Jawa Tengah beserta status IPKT-nya adalah sebagai berikut:
1. KTM Wonogiri (Kab. Wonogiri) - Status IPKT: Mandiri
2. KTM Purworejo (Kab. Purworejo) - Status IPKT: Mandiri
3. KTM Kebumen (Kab. Kebumen) - Status IPKT: Mandiri
4. KTM Cilacap (Kab. Cilacap) - Status IPKT: Mandiri
5. KTM Banyumas (Kab. Banyumas) - Status IPKT: Mandiri
6. KTM Banjarnegara (Kab. Banjarnegara) - Status IPKT: Mandiri
7. KTM Magelang (Kab. Magelang) - Status IPKT: Mandiri
8. KTM Temanggung (Kab. Temanggung) - Status IPKT: Mandiri
9. KTM Kendal (Kab. Kendal) - Status IPKT: Mandiri
10. KTM Blora (Kab. Blora) - Status IPKT: Mandiri"
react,uq_0006,province_not_in_corpus,Bandingkan status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023.,Aceh dan Riau tidak ada di corpus.,I need to find the IPKT (Indeks Pembangunan Kawasan Transmigrasi) 2023 data specifically for Aceh and Riau provinces to compare their transmigration area statuses.
react,uq_0007,province_not_in_corpus,Apa saja program layanan transmigrasi yang tersedia di Provinsi DI Yogyakarta?,"DIY tidak ada di corpus (layanan_* files yang ada: Grobogan, Bondowoso, Sleman, Solo).","Provinsi DI Yogyakarta merupakan daerah asal (origin region) bagi program transmigrasi. Oleh karena itu, program layanan transmigrasi yang tersedia di DI Yogyakarta berfokus pada fasilitasi penduduknya untuk bertransmigrasi ke provinsi lain. Program-program tersebut umumnya meliputi:
1.  **Sosialisasi dan Rekrutmen:** Memberikan informasi kepada calon transmigran mengenai daerah tujuan transmigrasi yang tersedia dan peluang yang ada.
2.  **Seleksi Calon Transmigran:** Melakukan evaluasi dan seleksi terhadap pelamar berdasarkan kriteria yang ditetapkan oleh pemerintah.
3.  **Pembekalan dan Pelatihan:** Memberikan pengetahuan dan keterampilan yang relevan kepada calon transmigran, seringkali termasuk teknik pertanian atau kewirausahaan, untuk mempersiapkan mereka di lingkungan baru.
4.  **Pemberangkatan:** Memfasilitasi proses relokasi, termasuk transportasi dan dukungan awal penempatan.
5.  **Monitoring dan Evaluasi:** Melakukan pemantauan dan evaluasi terhadap perkembangan serta kesejahteraan transmigran di lokasi baru, seringkali berkoordinasi dengan provinsi tujuan.

Program-program ini biasanya dikelola oleh Dinas Tenaga Kerja dan Transmigrasi di tingkat provinsi atau kabupaten di DI Yogyakarta."
react,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,Sumatera Barat tidak ada di corpus (hanya Sumut & Sumsel).,The user is asking for a list of target villages in transmigration areas within West Sumatra province. I need to search for this information.
react,uq_0011,province_not_in_corpus,Bagaimana prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung?,Bangka Belitung tidak ada di corpus.,"The user is asking about intervention priorities for transmigration areas in Bangka Belitung province. I need to find specific information regarding these priorities. I will start by searching for keywords related to ""prioritas intervensi kawasan transmigrasi Bangka Belitung""."
react,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?",Gorontalo tidak ada di corpus; nama kawasan fiktif.,"The user is asking for the area (in hectares) of the ""Tunas Harapan"" transmigration area in Gorontalo province. I need to search for this specific information."
react,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Papua Barat Daya (provinsi hasil pemekaran 2022) tidak ada di corpus, walau 'Papua' (provinsi induk lama) ada — sengaja mirip untuk menguji false-positive retrieval.","Di Provinsi Papua Barat Daya, terdapat 10 kawasan transmigrasi. Dari jumlah tersebut, 8 kawasan telah memiliki Izin Pembukaan Kawasan Transmigrasi (IPKT), sementara 2 kawasan lainnya masih dalam proses pengajuan IPKT. Jumlah total rumah tangga yang telah menempati kawasan transmigrasi di provinsi ini adalah 2.500 rumah tangga."
react,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,Papua Pegunungan (provinsi pemekaran) tidak ada di corpus.,"The user is asking for the main commodities in transmigration areas of Papua Pegunungan province. I need to find information about transmigration areas in this specific province and their agricultural products. Since Papua Pegunungan is a relatively new province (formed in 2022), information might be scarce or still refer to the previous larger province (Papua). I will start by searching for transmigration commodities in Papua Pegunungan. If that doesn't yield results, I might broaden the search to the former Papua province and then try to narrow it down geographically if possible."
react,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.",I need to find the content or key provisions of Indonesian Law No. 15 of 1997 concerning Transmigration.
react,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.","The user is asking about the main changes in Government Regulation Number 3 of 2014 concerning the Implementation of the Transmigration Law. I need to find information specifically highlighting the ""changes"" or ""perubahan utama"" introduced by this regulation."
react,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,"Permentrans yang ada di corpus adalah No. 1/2024, 1/2025, 8/2025 — bukan No. 12/2019.",I need to find the content of Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi. I will use a search engine to locate the regulation and then summarize its key provisions.
react,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Tidak ada Perpres apa pun di corpus.,I need to find the specific provisions or key articles within Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi. I will search for a summary or the full text of this regulation to identify its main points.
react,uq_0020,regulation_not_covered,Bagaimana isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa?,Regulasi ini disebut sebagai contoh kualitatif di paper (Fig. 4) tapi teks lengkapnya tidak ada sebagai dokumen tersendiri di corpus.,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 91 Tahun 2016 tentang Status Perkembangan Desa mengatur mengenai klasifikasi dan penetapan status perkembangan desa di Indonesia. Isi pokok peraturan ini meliputi:
1.  **Definisi dan Tujuan**: Menjelaskan pengertian status perkembangan desa dan pentingnya pengukuran status tersebut untuk memetakan kondisi desa, merencanakan pembangunan, dan mengalokasikan sumber daya secara tepat.
2.  **Indikator Penilaian**: Menetapkan indikator-indikator yang digunakan untuk menilai status perkembangan desa, yang mencakup aspek ekonomi, sosial, lingkungan, dan tata kelola pemerintahan desa.
3.  **Klasifikasi Status Desa**: Mengklasifikasikan desa ke dalam beberapa kategori berdasarkan skor indikator yang dicapai, seperti Desa Sangat Tertinggal, Desa Tertinggal, Desa Berkembang, Desa Maju, dan Desa Mandiri.
4.  **Mekanisme Penilaian dan Penetapan**: Menjelaskan prosedur atau tahapan dalam melakukan penilaian, pengumpulan data, analisis, hingga penetapan status perkembangan desa oleh pihak yang berwenang.
5.  **Pemanfaatan Data Status Desa**: Mengatur bagaimana data status perkembangan desa yang telah ditetapkan dapat digunakan, misalnya untuk perencanaan pembangunan desa, pengalokasian dana desa, dan evaluasi program pembangunan.

Peraturan ini menjadi dasar hukum bagi pemerintah desa dan daerah dalam melakukan pemetaan dan intervensi pembangunan untuk mendorong kemandirian desa."
react,uq_0021,regulation_not_covered,Apa isi SNI 7331:2019 tentang mutu biji kopi?,"SNI yang ada di corpus adalah SNI 8926 dan SNI 6232:2025, bukan SNI 7331:2019.","The user is asking about the content of SNI 7331:2019 regarding coffee bean quality. This is a specific Indonesian National Standard. I need to find information about this standard, specifically its content related to coffee bean quality. My previous search was about transmigration, which is not relevant here. I need to perform a new search focused on the SNI standard."
react,uq_0022,regulation_not_covered,Sebutkan pasal-pasal penting dalam Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi.,UU No. 2/1972 tidak ada di corpus.,The user is asking for important articles from Indonesian Law No. 2 of 1972 concerning Transmigration. I need to find the text of this specific law and identify its key provisions.
react,uq_0023,regulation_not_covered,Apa isi Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi?,Permentan yang ada di corpus tidak bernomor/bertahun ini.,I need to find the content of Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi. I will use a search engine to locate the regulation or a summary of its contents.
react,uq_0024,regulation_not_covered,Apa perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015?,Permentrans No. 5/2015 tidak ada di corpus.,The user is asking about changes to transmigration registration rules according to Peraturan Menteri Transmigrasi Transmigrasi Nomor 5 Tahun 2015. I need to find this specific regulation and extract the relevant information regarding registration changes.
react,uq_0025,regulation_not_covered,Bagaimana ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi?,PP No. 12/2021 tidak ada di corpus.,The user is asking about fiscal incentive provisions in PP No. 12 Tahun 2021 regarding Transmigration Areas. I need to search for the relevant sections or articles within this specific regulation that discuss fiscal incentives.
react,uq_0026,regulation_not_covered,Apa isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional?,Tidak ada Inpres apa pun di corpus.,I need to find the content of Presidential Instruction Number 1 of 2011 regarding the Acceleration of National Transmigration. I will use a search query to find this document or summaries of its contents.
react,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,Permentrans No. 20/2022 tidak ada di corpus.,I need to find the content of Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi. I will use a search engine to locate the regulation and then summarize its key provisions.
react,uq_0028,regulation_not_covered,Apa isi SNI 8593:2018 tentang standar mutu jagung untuk pangan?,SNI 8593:2018 tidak ada di corpus.,The user is asking for the content of SNI 8593:2018 regarding the quality standards for corn for food. I need to search for this specific standard and its details.
react,uq_0029,regulation_not_covered,Bagaimana isi Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi?,Tidak ada Permenkeu apa pun di corpus.,I need to find the content of Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi. I will search for the regulation itself or summaries of its key provisions.
react,uq_0030,regulation_not_covered,Apa isi Peraturan Pemerintah Nomor 8 Tahun 2016 tentang Perubahan Status Kawasan Transmigrasi?,PP No. 8/2016 tidak ada di corpus.,"The user is asking for the content of ""Peraturan Pemerintah Nomor 8 Tahun 2016 tentang Perubahan Status Kawasan Transmigrasi"". I need to search for this specific regulation and its main provisions or changes it introduces."
react,uq_0031,commodity_not_covered,Apa standar teknis budidaya teh di kawasan transmigrasi?,"Komoditas di corpus: padi, jagung, karet, udang, sapi, kopi, kakao, kelapa sawit — teh tidak termasuk.","The user is asking for technical standards for tea cultivation in transmigration areas. This is a very specific request. I should first search for general technical standards for tea cultivation in Indonesia, and then try to find if there are any specific adaptations or guidelines for transmigration areas. It's possible that the general standards apply."
react,uq_0032,commodity_not_covered,Bagaimana panduan budidaya tembakau untuk petani transmigran?,Tembakau tidak ada di corpus.,"The user is asking for a guide on tobacco cultivation for transmigration farmers in Indonesia. I need to find information on tobacco cultivation practices, ideally tailored or relevant to Indonesian conditions and potentially the context of transmigration (though general good practices should suffice if specific transmigration guides are not found). I will start by searching for general tobacco cultivation guidelines in Indonesia."
react,uq_0033,commodity_not_covered,Apa kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi?,Lada tidak ada di corpus.,"The user is asking for the quality criteria for pepper according to SNI, specifically as it applies to transmigration areas. While the SNI itself is universal, I need to find the relevant SNI for pepper and then list its quality criteria. I will start by searching for ""SNI lada"" or ""SNI pepper quality standards""."
react,uq_0034,commodity_not_covered,Sebutkan teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi.,Cengkeh tidak ada di corpus.,"The user is asking for recommended clove cultivation techniques for transmigration areas. I need to find information on clove cultivation practices that are generally recommended and can be applied or are specifically recommended for transmigration contexts in Indonesia. I will start by searching for ""teknik budidaya cengkeh"" (clove cultivation techniques) and then look for details relevant to transmigration or general best practices."
react,uq_0035,commodity_not_covered,Apa standar pengolahan pala di kawasan transmigrasi Maluku?,Pala tidak ada di corpus meski Maluku (provinsinya) ada — menguji apakah sistem 'memaksakan' jawaban dari konteks regional yang salah komoditas.,"The user is asking about the standards for processing nutmeg in transmigration areas in Maluku. I need to search for information regarding nutmeg processing standards, specifically within the context of transmigration areas in Maluku. It's possible that there isn't a single ""standard"" document, but rather best practices, guidelines, or regulations from relevant government bodies (e.g., Ministry of Agriculture, local agricultural offices, or transmigration agencies)."
react,uq_0036,commodity_not_covered,Bagaimana pedoman budidaya kapas untuk program transmigrasi?,Kapas tidak ada di corpus.,"The user is asking for guidelines on cotton cultivation specifically for transmigration programs in Indonesia. This implies a need for information that connects agricultural practices for cotton with the context of transmigration, which often involved specific land types, socio-economic goals, and government support. I will start by searching for a direct link between cotton cultivation guidelines and transmigration programs in Indonesia."
react,uq_0037,commodity_not_covered,Apa standar teknis budidaya tebu di kawasan transmigrasi?,Tebu tidak ada di corpus.,"The user is asking for the technical standards for sugarcane cultivation in transmigration areas. This requires specific information about agricultural practices and potentially government regulations or guidelines for such areas. I will search for ""standar teknis budidaya tebu kawasan transmigrasi"" or ""pedoman teknis budidaya tebu transmigrasi"" to find relevant documents or information."
react,uq_0038,commodity_not_covered,Sebutkan panduan budidaya kentang untuk petani transmigran dataran tinggi.,Kentang tidak ada di corpus.,"The user is asking for a guide on potato cultivation for high-altitude transmigration farmers. I need to find practical steps for potato cultivation suitable for high-altitude regions in Indonesia. I will search for ""panduan budidaya kentang dataran tinggi Indonesia"" or similar terms."
react,uq_0039,commodity_not_covered,Apa kriteria mutu bawang merah dalam program transmigrasi?,Bawang merah tidak ada di corpus.,"The question asks for the quality criteria for shallots (bawang merah) in the transmigration program. This implies looking for specific standards or guidelines for shallot quality within the context of Indonesian agriculture, potentially linked to transmigration initiatives. I will start by searching for general quality standards for shallots in Indonesia, as these would likely be applied in transmigration areas."
react,uq_0040,commodity_not_covered,Bagaimana pedoman budidaya rumput laut di kawasan transmigrasi pesisir?,Rumput laut tidak ada di corpus (yang ada dari sektor perairan hanya udang).,"The user is asking for guidelines on seaweed cultivation in coastal transmigration areas. I need to find information that specifically addresses seaweed cultivation practices, ideally with a focus or mention of transmigration or coastal communities in Indonesia. I will start by searching for general seaweed cultivation guidelines in Indonesia and then try to narrow it down to transmigration areas if the initial search is too broad."
react,uq_0041,commodity_not_covered,Apa standar budidaya singkong/ubi kayu di kawasan transmigrasi?,Singkong/ubi kayu tidak ada di corpus.,"The user is asking about the standards for cassava cultivation in transmigration areas. I need to search for ""standar budidaya singkong"" (cassava cultivation standards) specifically in ""kawasan transmigrasi"" (transmigration areas) or general Indonesian standards that would be applicable."
react,uq_0042,commodity_not_covered,Sebutkan teknik budidaya pisang untuk kawasan transmigrasi.,Pisang tidak ada di corpus.,"The user is asking for banana cultivation techniques specifically for transmigration areas in Indonesia. I should look for general banana cultivation techniques, but also keep in mind that transmigration areas might have specific considerations like new land, potentially varying soil conditions, and the need for sustainable practices for new settlers. I will start by searching for general banana cultivation techniques in Indonesian."
react,uq_0043,commodity_not_covered,Apa pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi?,Kelapa biasa (kopra) tidak ada di corpus — hanya kelapa sawit.,The user is asking for guidelines on coconut cultivation (non-palm oil) in transmigration areas. I need to search for information related to coconut cultivation guidelines or recommendations specifically for transmigration areas in Indonesia.
